Model,Strategy,Context,N,statement_coverage_mean,statement_coverage_std,statement_coverage_ci,branch_coverage_mean,branch_coverage_std,branch_coverage_ci,mutation_score_mean,mutation_score_std,mutation_score_ci,overall_quality_score_mean,overall_quality_score_std,overall_quality_score_ci
claude-code-opus-4.5,chain_of_thought_prompting,full_context,30,99.0,0.0,"[99.0, 99.0]",98.0,0.0,"[98.0, 98.0]",41.73,6.7,"[39.33, 44.13]",77.22,1.71,"[76.61, 77.83]"
claude-code-opus-4.5,chain_of_thought_prompting,interface,30,82.2,2.46,"[81.32, 83.08]",76.2,3.4,"[74.98, 77.42]",38.66,6.28,"[36.41, 40.91]",75.34,2.01,"[74.62, 76.06]"
claude-code-opus-4.5,chain_of_thought_prompting,interface_docstring,30,98.7,0.79,"[98.42, 98.98]",97.7,0.79,"[97.42, 97.98]",40.48,9.79,"[36.98, 43.99]",74.62,1.19,"[74.19, 75.04]"
claude-code-opus-4.5,simple_prompting,full_context,30,99.0,0.0,"[99.0, 99.0]",98.0,0.0,"[98.0, 98.0]",30.58,12.13,"[26.23, 34.92]",76.98,1.95,"[76.28, 77.68]"
claude-code-opus-4.5,simple_prompting,interface,30,83.73,3.11,"[82.62, 84.84]",78.83,3.73,"[77.5, 80.17]",32.35,9.65,"[28.9, 35.81]",71.88,1.36,"[71.39, 72.37]"
claude-code-opus-4.5,simple_prompting,interface_docstring,30,99.0,0.0,"[99.0, 99.0]",98.0,0.0,"[98.0, 98.0]",31.91,10.2,"[28.26, 35.56]",74.16,1.78,"[73.52, 74.79]"
claude-code-sonnet-4.5,chain_of_thought_prompting,full_context,30,98.93,0.37,"[98.8, 99.06]",97.93,0.37,"[97.8, 98.06]",46.92,4.08,"[45.46, 48.38]",74.33,3.77,"[72.98, 75.68]"
claude-code-sonnet-4.5,chain_of_thought_prompting,interface,30,83.62,4.37,"[81.96, 85.28]",78.31,5.84,"[76.09, 80.53]",43.41,3.65,"[42.02, 44.79]",71.33,7.53,"[68.63, 74.02]"
claude-code-sonnet-4.5,chain_of_thought_prompting,interface_docstring,30,98.9,0.55,"[98.7, 99.1]",97.9,0.55,"[97.7, 98.1]",46.8,4.78,"[45.09, 48.51]",72.36,5.12,"[70.52, 74.19]"
claude-code-sonnet-4.5,simple_prompting,full_context,30,99.0,0.0,"[99.0, 99.0]",98.0,0.0,"[98.0, 98.0]",23.48,17.96,"[17.06, 29.91]",78.23,0.5,"[78.06, 78.41]"
claude-code-sonnet-4.5,simple_prompting,interface,30,82.97,3.97,"[81.55, 84.39]",78.4,4.83,"[76.67, 80.13]",28.55,11.72,"[24.36, 32.75]",78.93,0.82,"[78.64, 79.22]"
claude-code-sonnet-4.5,simple_prompting,interface_docstring,30,99.0,0.0,"[99.0, 99.0]",98.0,0.0,"[98.0, 98.0]",23.93,17.11,"[17.81, 30.06]",77.34,1.18,"[76.92, 77.76]"
gemini-3-flash,chain_of_thought_prompting,full_context,30,95.07,9.98,"[91.13, 99.02]",96.67,1.88,"[95.92, 97.41]",20.71,16.22,"[14.91, 26.52]",74.5,10.05,"[70.91, 78.1]"
gemini-3-flash,chain_of_thought_prompting,interface,30,80.07,5.87,"[77.84, 82.3]",73.76,7.36,"[70.96, 76.56]",24.71,12.04,"[20.41, 29.02]",75.74,6.27,"[73.5, 77.98]"
gemini-3-flash,chain_of_thought_prompting,interface_docstring,30,91.7,8.63,"[88.61, 94.79]",90.67,3.41,"[89.45, 91.89]",26.77,12.74,"[22.21, 31.33]",75.81,3.57,"[74.54, 77.09]"
gemini-3-flash,simple_prompting,full_context,30,98.93,0.38,"[98.78, 99.08]",97.93,0.38,"[97.78, 98.08]",29.96,21.58,"[22.23, 37.68]",76.15,8.49,"[73.11, 79.19]"
gemini-3-flash,simple_prompting,interface,30,74.07,6.18,"[71.86, 76.28]",70.13,6.69,"[67.74, 72.53]",22.4,11.06,"[18.44, 26.36]",77.32,1.33,"[76.85, 77.8]"
gemini-3-flash,simple_prompting,interface_docstring,30,95.71,5.18,"[93.7, 97.72]",95.11,3.63,"[93.7, 96.52]",25.16,16.28,"[19.33, 30.98]",73.45,7.88,"[70.63, 76.27]"
gemini-3-pro,chain_of_thought_prompting,full_context,30,98.0,2.3,"[97.18, 98.82]",96.93,2.83,"[95.92, 97.95]",22.78,17.43,"[16.54, 29.02]",79.12,0.43,"[78.96, 79.27]"
gemini-3-pro,chain_of_thought_prompting,interface,30,74.33,3.48,"[73.09, 75.58]",66.8,3.97,"[65.38, 68.22]",23.29,13.21,"[18.56, 28.02]",76.32,2.24,"[75.52, 77.12]"
gemini-3-pro,chain_of_thought_prompting,interface_docstring,30,90.9,2.23,"[90.1, 91.7]",87.8,2.96,"[86.74, 88.86]",26.66,18.46,"[20.06, 33.27]",76.2,1.34,"[75.72, 76.68]"
gemini-3-pro,simple_prompting,full_context,30,98.93,0.58,"[98.72, 99.14]",97.97,0.67,"[97.73, 98.21]",31.71,20.45,"[24.39, 39.03]",78.67,1.02,"[78.3, 79.03]"
gemini-3-pro,simple_prompting,interface,30,73.53,5.07,"[71.72, 75.35]",66.37,6.08,"[64.19, 68.54]",27.43,10.47,"[23.68, 31.17]",77.09,1.93,"[76.4, 77.78]"
gemini-3-pro,simple_prompting,interface_docstring,30,97.03,2.75,"[96.05, 98.02]",95.7,3.31,"[94.51, 96.89]",24.94,15.13,"[19.52, 30.35]",76.19,1.0,"[75.83, 76.55]"
