Metoda,Typ,Opis scenariusza,Pokryty w testach,Komentarz
init,corner case,tax_rate > 1.0,"",
init,corner case,tax_rate < 0.0,1,
init,corner case,free_shipping_threshold < 0.0,1,
init,corner case,shipping_cost < 0.0,1,
add_item,scenariusz,dodanie poprawnego produktu,1,
get_subtotal,scenariusz,test precyzji obliczeń,1,
add_item,scenariusz,ten sam produkt 2 razy (identyczna cena),1,
add_item,scenariusz,bardzo długa nazwa produktu,"",
add_item,corner case,quantity <= 0,1,
add_item,corner case,price <= 0,1,
add_item,corner case,"name="""" (pusty)",1,
add_item,corner case,ten sam produkt 2 razy (różna cena),1,
remove_item,scenariusz,usunięcie pojedynczego / wielu produktów,1,
remove_item,corner case,usunięcie nieistniejącego produktu,1,
apply_discount,scenariusz,poprawna zniżka,1,sprawdza edge case
apply_discount,corner case,discount < 0,"",
apply_discount,corner case,discount > 1,1,
apply_discount,corner case,subtotal < 0.0,1,
calculate_shipping,scenariusz,darmowa wysyłka,1,
calculate_shipping,scenariusz,koszt wysyłki,1,
calculate_tax,scenariusz,poprawny podatek,1,
calculate_total,scenariusz,poprawne obliczenie sumy,1,""
calculate_total,scenariusz,test precyzji obliczeń,"",
total_items,scenariusz,poprawne zwracanie ilości gdy len(items) > 0,"",
list_items,scenariusz,poprawne wypisywanie listy produktów,"",
list_items,scenariusz,poprawna zmiana rezultatu po dodaniu / usunięciu produktu,"",
is_empty,scenariusz,sprawdzanie czy koszyk pusty,"",
apply_discount,scenariusz,test precyzji obliczeń,"",
init,scenariusz,test wydajności (ekstremalna liczba items),"",
add_item,scenariusz,test wydajności (wielokrotne dodawania produktu/ów),"",
remove_item,scenariusz,test wydajności (wielokrotne usuwanie produktu/ów),"",
init,scenariusz,poprawna inicjalizacja z własnymi wartościami,1,""
add_item,corner case,nieoczekiwany typ name,"",
init,corner case,nieoczekiwany typ tax_rate,1,
remove_item,corner case,nieoczekiwany typ name,1,
apply_discount,corner case,nieoczekiwany typ subtotal,1,
calculate_shipping,corner case,nieoczekiwany typ discounted_subtotal,1,
calculate_tax,corner case,nieoczekiwany typ amount,1,
calculate_total,corner case,nieoczekiwany typ discount,"",
init,corner case,nieoczekiwany typ free_shipping_threshold,"",
init,corner case,nieoczekiwany typ shipping_cost,"",
add_item,corner case,nieoczekiwany typ price,1,
add_item,corner case,nieoczekiwany typ quantity,"",
apply_discount,corner case,nieoczekiwany typ discount,"",
init,scenariusz,domyślna inicjalizacja,1,sprawdza edge case
total_items,scenariusz,poprawne zwracanie gdy items puste,"",
get_subtotal,scenariusz,poprawne obliczanie,1,
get_subtotal,scenariusz,subtotal na pustym zamówieniu,1,
calculate_tax,corner case,amount < 0.0,1,sprawdza edge case
clear_order,scenariusz,czyszczenie koszyka,"",
is_empty,scenariusz,sprawdzenie czy koszyk NIE jest pusty po dodaniu item,1,
calculate_total,scenariusz,poprawne obliczanie sumy ze zniżką bez shipping,"",
calculate_total,scenariusz,poprawne obliczanie sumy ze zniżką i shipping,1,
calculate_total,scenariusz,poprawne obliczeanie sumy dla pustego order,"",
